[ 2012-09-29T06:06:28+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | INFO: Tag[ route_check ] --END-- [ RunTime:0.001840s ]
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001442s ]
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001504s ]
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: refresh_token LoginAction.class.php 第 35 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: visitor_id LoginAction.class.php 第 36 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: visitor_nick LoginAction.class.php 第 37 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: sub_visitor_id LoginAction.class.php 第 38 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: sub_taobao_user_nick LoginAction.class.php 第 39 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: expires_in LoginAction.class.php 第 40 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: re_expires_in LoginAction.class.php 第 41 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: r1_expires_in LoginAction.class.php 第 42 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: r2_expires_in LoginAction.class.php 第 43 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: w1_expires_in LoginAction.class.php 第 44 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Undefined index: w2_expires_in LoginAction.class.php 第 45 行.
[ 2012-09-29T06:06:49+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDFiMjU0YzEyOWM4MzQ5Zjg5ZjEwNzU4ZDljYTA5ZTEwNTY3MTVmNGViMTY1MjA3NDA4Mjc4NiZ0cz0xMzQ4ODcwMDA5MTU5JnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=6100525daf6a6835184dbdc698dd7a9c4104bc5348aae3d2074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22481166-2074082786-097E1F08525A1EEEAB7E44359E1255A9&top_sign=nKjoo2YSAZnHmcBxRnjBuw%3D%3D | NOTIC: [8] Array to string conversion LoginAction.class.php 第 54 行.
[ 2012-09-29T06:08:11+08:00 ] /taodandan/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2012-09-29T06:08:11+08:00 ] /taodandan/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.001476s ]
